Month,Cash,Accounts_Receivable,Equipment,Total_Assets,Accounts_Payable,Loans,Equity,Current_Ratio,Debt_to_Equity
January,50000,40000,200000,290000,30000,100000,160000,1.47,0.63
February,55000,42000,200000,297000,35000,100000,162000,1.49,0.62
March,60000,50000,210000,320000,40000,100000,180000,1.38,0.56
April,300000,200000,220000,720000,80000,100000,540000,3.50,0.19
May,150000,120000,230000,500000,70000,100000,330000,2.43,0.30
June,180000,150000,230000,560000,90000,100000,370000,2.33,0.27
July,120000,300000,240000,660000,100000,100000,460000,4.20,0.22
August,80000,350000,250000,680000,120000,100000,460000,3.58,0.22
September,50000,200000,250000,500000,90000,100000,310000,2.78,0.32
October,150000,400000,260000,810000,150000,100000,560000,3.67,0.18
November,70000,150000,260000,480000,80000,100000,300000,2.69,0.33
December,200000,300000,270000,770000,120000,100000,550000,3.17,0.18
