Month,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Net_Income,Gross_Margin(%),Net_Margin(%),Revenue_Growth_MoM(%)
January,100000,50000,50000,40000,10000,50.0,10.0,-
February,120000,60000,60000,45000,15000,50.0,12.5,20.0
March,110000,55000,55000,42000,13000,50.0,11.8,-8.3
April,400000,200000,200000,100000,100000,50.0,25.0,263.6
May,150000,75000,75000,70000,5000,50.0,3.3,-62.5
June,180000,90000,90000,80000,10000,50.0,5.6,20.0
July,250000,120000,130000,90000,40000,52.0,16.0,38.9
August,200000,110000,90000,95000,-5000,45.0,-2.5,-20.0
September,100000,60000,40000,70000,-30000,40.0,-30.0,-50.0
October,300000,150000,150000,120000,30000,50.0,10.0,200.0
November,90000,50000,40000,80000,-4000,44.4,-4.4,-70.0
December,250000,120000,130000,110000,20000,52.0,8.0,177.8
