Month,Cash,Accounts_Receivable,Equipment,Total_Assets,Accounts_Payable,Loans,Equity,Current_Ratio,Debt_to_Equity
January,20000,15000,50000,85000,10000,30000,45000,1.17,0.67
February,25000,18000,50000,93000,12000,30000,51000,1.42,0.59
March,40000,25000,52000,117000,15000,30000,70000,1.57,0.43
April,60000,40000,55000,155000,25000,30000,100000,1.67,0.30
May,90000,70000,60000,220000,40000,30000,150000,1.75,0.20
June,130000,120000,65000,315000,60000,20000,235000,2.13,0.09
July,180000,200000,70000,450000,90000,20000,340000,2.44,0.06
August,250000,300000,75000,625000,120000,10000,495000,2.92,0.02
September,350000,500000,80000,930000,150000,0,780000,5.67,0.00
October,500000,650000,85000,1235000,200000,0,1035000,5.75,0.00
November,650000,800000,90000,1545000,250000,0,1295000,5.80,0.00
December,850000,1000000,100000,1950000,300000,0,1650000,6.17,0.00
