Month,Cash_From_Operations,Cash_From_Investing,Cash_From_Financing,Net_Cash_Flow,Cash_Flow_Health
January,-5000,-10000,40000,25000,Positive
February,5000,-5000,20000,20000,Positive
March,15000,-10000,0,5000,Positive
April,25000,-15000,0,10000,Positive
May,55000,-20000,0,35000,Positive
June,105000,-30000,0,75000,Positive
July,170000,-40000,0,130000,Positive
August,270000,-50000,0,220000,Positive
September,400000,-50000,0,350000,Positive
October,500000,-50000,0,450000,Positive
November,700000,-50000,0,650000,Positive
December,1000000,-50000,0,950000,Positive
