Month,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Net_Income,Gross_Margin(%),Net_Margin(%),Revenue_Growth_MoM(%)
January,30000,9000,21000,25000,-4000,70.0,-13.3,-
February,40000,12000,28000,30000,-2000,70.0,-5.0,33.3
March,60000,18000,42000,35000,7000,70.0,11.7,50.0
April,90000,27000,63000,40000,23000,70.0,25.6,50.0
May,150000,45000,105000,50000,55000,70.0,36.7,66.7
June,250000,75000,175000,65000,110000,70.0,44.0,66.7
July,400000,120000,280000,90000,190000,70.0,47.5,60.0
August,600000,180000,420000,120000,300000,70.0,50.0,50.0
September,900000,270000,630000,200000,430000,70.0,47.8,50.0
October,1200000,360000,840000,250000,590000,70.0,49.2,33.3
November,1600000,480000,1120000,300000,820000,70.0,51.3,33.3
December,2200000,660000,1540000,350000,1190000,70.0,54.1,37.5
