Month,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Net_Income,Gross_Margin(%),Net_Margin(%),Revenue_Growth_MoM(%)
January,80000,52000,28000,35000,-7000,35.0,-8.75,-
February,70000,48000,22000,34000,-12000,31.4,-17.14,-12.5
March,120000,75000,45000,38000,7000,37.5,5.83,71.43
April,180000,115000,65000,42000,23000,36.1,12.78,50
May,250000,160000,90000,48000,42000,36.0,16.8,38.89
June,400000,260000,140000,60000,80000,35.0,20.0,60
July,900000,600000,300000,120000,180000,33.3,20.0,125
August,1200000,820000,380000,150000,230000,31.7,19.2,33.33
September,3000000,2100000,900000,300000,600000,30.0,20.0,150
October,3200000,2250000,950000,320000,630000,29.7,19.7,6.67
November,3500000,2450000,1050000,350000,700000,30.0,20.0,9.38
December,3800000,2700000,1100000,380000,720000,28.9,18.95,8.57
