Month,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Net_Income,Gross_Margin(%),Operating_Margin(%),Net_Margin(%),Revenue_Growth(%),Net_Income_Growth(%)
January,8200000,4600000,3600000,2100000,1500000,43.9,18.3,18.3,0,0
February,7900000,4400000,3500000,2050000,1450000,44.3,18.99,18.35,-3.66,-3.33
March,8800000,4800000,4000000,2150000,1850000,45.45,20.45,21.02,11.39,27.59
April,9200000,5000000,4200000,2200000,2000000,45.65,21.74,21.74,4.55,8.11
May,8700000,4700000,4000000,2250000,1750000,45.98,20.69,20.11,-5.43,-12.5
June,9500000,5100000,4400000,2300000,2100000,46.32,22.11,22.11,9.2,20
July,6200000,4300000,1900000,2400000,-500000,30.65,-7.26,-8.06,-34.74,-123.81
August,10800000,6900000,3900000,2600000,1300000,36.11,12.04,12.04,74.19,-360
September,7400000,5200000,2200000,2500000,-300000,29.73,-3.51,-4.05,-31.48,-123.08
October,8800000,5000000,3800000,2300000,1500000,43.18,17.05,17.05,18.92,-600
November,9400000,5200000,4200000,2350000,1850000,44.68,20.21,19.68,6.82,23.33
December,10200000,5500000,4700000,2400000,2300000,46.08,22.55,22.55,8.51,24.32
